,policy,perf,cost,risk,policy_num
31,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
32,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
33,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
34,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
35,"['Crop', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
36,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
37,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
38,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
39,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
40,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
41,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
42,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
43,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
44,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
45,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
46,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
47,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
48,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
49,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
50,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
51,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
52,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
53,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
54,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
55,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
56,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
57,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
58,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
59,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
60,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
61,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
62,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
63,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
64,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
65,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
66,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
67,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
68,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
69,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
70,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
71,"['Crop', 'Farmbeats', 'Website', '100-500', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
72,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
73,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
74,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
75,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
76,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
77,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
78,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
79,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
80,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
81,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
82,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
83,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
84,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
85,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
86,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
87,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
88,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
89,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
90,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
91,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
92,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
93,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
94,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
95,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
96,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
97,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
98,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
99,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
100,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
101,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
102,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
103,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
104,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
105,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
106,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
107,"['Crop', 'Farmbeats', 'Website', '500-10k', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
108,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
109,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
110,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
111,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
112,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
113,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
114,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
115,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
116,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
117,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
118,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
119,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500GB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
120,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
121,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
122,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
123,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
124,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
