,policy_names,perf,cost,risk,policy_num,policy
10,"['Crop', 'Farmbeats', 'Text Messeges', '0-100', 'Cloud base', 'Manual', '500-1000GB', 'Email', 'JSON', 'Regression']",281.31625,87125.0,0.10022500000000001,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF600B8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60208>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602E8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60400>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF604E0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
11,"['Crop', 'Farmbeats', 'Text Messeges', '100-500', 'Cloud base', 'Manual', '500-1000GB', 'Email', 'JSON', 'Regression']",281.31625,87125.0,0.10022500000000001,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF600B8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60240>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602E8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60400>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF604E0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
12,"['Crop', 'Farmbeats', 'Text Messeges', '0-100', 'Cloud base', 'Manual', '1TB-10TB', 'Real-time display', 'JSON', 'Regression']",300.66625,93750.0,0.10022500000000001,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF600B8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60208>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602E8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60438>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60470>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
13,"['Crop', 'Farmbeats', 'Text Messeges', '100-500', 'Cloud base', 'Manual', '1TB-10TB', 'Real-time display', 'JSON', 'Regression']",300.66625,93750.0,0.10022500000000001,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF600B8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60240>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602E8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60438>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60470>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
14,"['Crop', 'Farmbeats', 'Text Messeges', '0-100', 'Cloud base', 'Manual', '1TB-10TB', 'Email', 'JSON', 'Regression']",290.16625,87500.0,0.10022500000000001,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF600B8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60208>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602E8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60438>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF604E0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
15,"['Crop', 'Farmbeats', 'Text Messeges', '100-500', 'Cloud base', 'Manual', '1TB-10TB', 'Email', 'JSON', 'Regression']",290.16625,87500.0,0.10022500000000001,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF600B8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60240>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602E8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60438>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF604E0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
16,"['Crop', 'Other thrid parties', 'Text Messeges', '0-100', 'Blockchain', 'Manual', '500GB', 'Email', 'JSON', 'Regression']",281.365,99875.0,0.1000125,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60128>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60208>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602B0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF603C8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF604E0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
17,"['Crop', 'Other thrid parties', 'Text Messeges', '100-500', 'Blockchain', 'Manual', '500GB', 'Email', 'JSON', 'Regression']",281.365,99875.0,0.1000125,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60128>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60240>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602B0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF603C8>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF604E0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
18,"['Crop', 'Other thrid parties', 'Text Messeges', '0-100', 'Blockchain', 'Manual', '1TB-10TB', 'Real-time display', 'JSON', 'Regression']",305.0275,106625.0,0.1000125,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60128>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60208>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602B0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60438>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60470>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
19,"['Crop', 'Other thrid parties', 'Text Messeges', '100-500', 'Blockchain', 'Manual', '1TB-10TB', 'Real-time display', 'JSON', 'Regression']",305.0275,106625.0,0.1000125,10,"[<Decision_Model.decision_model.Decision object at 0x000001A5AEF59FD0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60128>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF601D0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60240>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF602B0>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60320>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60438>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60470>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF60588>, <Decision_Model.decision_model.Decision object at 0x000001A5AEF605F8>]"
