,performance,cost,risk
0,137.65630163387044,500785.0,0.3596588888888889
1,103.89567003655293,500785.0,0.17985444444444446
2,111.7987261679693,500830.0,0.18070444444444447
3,132.710485210874,500885.0,0.17985444444444446
4,137.88430142433532,500855.0,0.3596588888888889
5,110.70295028990563,500735.0,0.27060666666666666
6,83.04686351742161,500735.0,0.18070444444444447
7,118.16193329000973,500855.0,0.26975666666666664
8,83.45342015414646,500755.0,0.17985444444444446
9,88.45918461124035,500705.0,0.27060666666666666
