yyyy-mm-dd,pr_GFDL-ESM2M_rcp45(mm),tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),was_GFDL-ESM2M_rcp45(ms-1),huss_GFDL-ESM2M_rcp45(kgkg-1)
4/3/06,0.346994,280.68219,289.843597,4.452899,0.005241
4/4/06,5.602035,281.216034,298.345154,4.653916,0.00765
4/5/06,0.397795,282.298218,296.787415,2.786317,0.006066
4/6/06,2.609218,281.59256,292.427307,2.644736,0.005486
4/7/06,4.068866,284.045532,292.477142,2.925862,0.0067
4/8/06,2.489248,275.725311,294.874939,6.531022,0.005049
4/9/06,1.021366,272.235626,279.38269,6.053594,0.002813
4/10/06,0.513868,270.504791,277.547821,4.689999,0.00271
4/11/06,0,269.286072,281.159698,2.262083,0.002581
4/12/06,19.89917,274.285156,283.480042,3.836975,0.004057
4/13/06,2.665291,279.481445,289.246002,2.512362,0.006061
4/14/06,0.578281,268.864929,291.006134,6.041384,0.003675
4/15/06,0,267.340088,278.034027,3.240597,0.002161
4/16/06,0,270.007294,280.500854,1.486463,0.002949
4/17/06,6.241255,275.405579,281.716339,3.595188,0.004072
4/18/06,29.163479,276.951324,280.444092,5.598176,0.00486
4/19/06,0.493135,277.520935,286.844971,4.526324,0.00486
4/20/06,4.381926,276.988312,287.00589,0.494779,0.005893
4/21/06,3.941389,278.189209,285.997101,3.494132,0.005951
4/22/06,0.060236,277.476776,287.440796,4.640607,0.005096
4/23/06,0,280.406067,290.589203,1.716209,0.005224
4/24/06,0,283.662262,295.584259,2.826411,0.006081
4/25/06,0,289.048096,295.275604,4.835882,0.007364
4/26/06,5.243205,285.230225,294.854828,3.418879,0.008786
4/27/06,2.132301,282.471283,297.550232,2.419954,0.006743
4/28/06,0,282.100006,296.31842,2.210156,0.006076
4/29/06,1.05998,281.764038,295.811951,0.323281,0.006065
4/30/06,11.398519,285.683044,292.805664,2.17729,0.00756
5/1/06,7.786383,280.85495,289.244781,1.830361,0.007917
5/2/06,1.41945,276.463501,288.973572,4.944691,0.005152
5/3/06,2.51916,274.754608,284.654358,4.012912,0.004469
5/4/06,0.698279,275.445404,283.332153,2.089999,0.004183
5/5/06,1.313363,275.393005,289.398743,1.387945,0.004115
5/6/06,0,276.889099,293.023315,1.716073,0.004943
5/7/06,2.81643,279.814453,288.850861,3.006077,0.006174
5/8/06,0,276.35907,288.917969,3.293866,0.004671
5/9/06,0,277.253174,289.643646,1.821569,0.004653
5/10/06,0,278.251312,293.333191,2.333675,0.004568
5/11/06,1.194132,288.552002,302.347778,4.228655,0.01015
5/12/06,0.731761,290.129974,302.819122,4.00669,0.010673
5/13/06,3.182062,289.207062,302.5177,2.029683,0.009196
5/14/06,0,284.959381,296.547638,2.851552,0.006669
5/15/06,0,279.978546,295.956085,1.80552,0.004546
5/16/06,0,278.17099,297.829956,0.925894,0.005779
5/17/06,1.506899,286.417084,298.931732,2.659658,0.00768
5/18/06,3.785932,288.919128,299.575562,1.25615,0.01081
5/19/06,2.239569,286.539612,298.510315,2.427415,0.008448
5/20/06,5.926601,283.778961,293.644257,1.237787,0.007624
5/21/06,1.1556,282.792572,295.355713,2.136853,0.006419
5/22/06,5.462865,282.348297,294.539795,2.430925,0.006512
5/23/06,4.521474,282.773224,289.288116,2.826198,0.00721
5/24/06,7.765903,281.91217,288.242462,2.914586,0.006608
5/25/06,2.652129,280.631744,291.285461,2.926291,0.006372
5/26/06,0,281.660095,298.794891,2.963032,0.006291
5/27/06,3.698344,285.019958,298.141327,3.681363,0.007721
